id,name
1,Owlet
2,Athos
3,The Ultimate Edge
4,Nomad
5,Teavana
7,Royce
8,Bose
9,Fujifilm
10,Lego
11,Canon
12,Warby Parker
14,Digital Dream Labs
15,Kiwi Crate
16,Wonder Workshop
17,Native Union
18,eero
19,Moleskine
20,Michael Kors
21,Primus
22,Gardeners
24,VegTrug
25,New York Times
26,Petzi
27,Restoration Hardware
28,Level Terrain
29,Tumi
30,Columbia
32,GrowlerWerks
33,Chikuno
34,Waterford
36,Uncle Goose
37,John Varvatos
39,Lodge
40,Everlane
41,Yeti
42,Arc'teryx
43,Nikon
44,BumbleRide
45,Mauviel
46,Salvatore Ferragamo
48,Public Bikes
49,Peterboro
50,Knog
51,Kryptonite
52,Wilson
53,Sugarfina
54,Mariage Frères
55,S'well
56,Frends
57,White + Warren
58,Alexander McQueen
59,Nashelle
60,Anthropologie
61,Ringly
62,Titleist
63,Tilit
64,Shun
65,Zwilling
66,Blue Bottle Coffee
67,Chemex
68,Apple
69,Slip
70,Gaiam
71,Bruer
72,Marta Pia
73,Food52
74,Shrub & Co
75,Studiopatró
76,Staub
77,Yield
78,PieBox
79,Noble Handcrafted
80,GrowlTap
81,The Coffee Registry
82,Dona Chai
83,SPARQ Home
84,Potting Shed Creations
85,Able Brewing Co
86,Oscar De La Renta
87,Kate Spade
88,Ralph Lauren
89,Prada
90,Amazon
91,Soma
92,Tile
93,Goal Zero
94,Klean Kanteen
95,Monocle
96,BioLite
97,GoPro
98,Darn Tough
99,Sheffield
100,Fitbit
101,Rifle Paper Co
102,Wusthof
103,SoundPeats
104,Zepp
105,Wacom
106,Harney & Sons
107,Winsor & Newton
108,Prismacolor
109,Youphoria
110,Hario
111,Zippo
112,Menu
113,Huawei
114,Trion
115,Vector
116,Tory Burch
117,Burberry
118,KitchenAid
119,Beats by Dre
120,Raden
121,Owen & Fred
122,Vineyard Vines
123,Google
124,Club Glove
125,Baby Trend
126,Epson
128,Uuni
129,Wedgwood
130,Ippolita
131,Thermos
38,Frank And Oak
132,JBL
133,Samsung
134,Klipsch
135,Logitech
136,Bang & Olufson
137,Leef
138,Bobby Jones
139,Lululemon
140,Saint Laurent
141,Owl's Brew
142,Osprey
143,Nike
144,Starbucks
145,Arccos
146,Mizuno
147,Cloud B
148,Melissa & Doug
149,524 Candle Lab
150,KCKO
151,Laguiole
152,Wabash Valley Farms
153,Chanel
154,Kohler
155,Royce Leather
156,Yonanas
157,Canary
158,Rabbit
159,Silver Oak
160,Maya Brenner
161,Cluse
162,Sevenhugs
163,NFL Shop
164,MiniPresso
165,Umbra
168,Xummit
169,Quad Lock
170,My Audio Pet
171,Caeden
172,Primo Toys
173,Kano
174,MAC Knives
175,Crenova
176,Void
167,Roli
177,Nuzzle
179,AHA Life
180,David Yurman
181,Holy Stone
182,Wonderwoof
184,Marc Jacobs
185,Ted Baker
186,Swagtron
189,Spy Gear
190,Super Stadium
191,Gund
192,Fisher-Price
193,Radio Flyer
194,Trivial Pursuit
195,Revell
196,Da Vinci
197,Stanley
198,Scrabble
201,Infant Optics 
202,UPPAbaby
203,Stokke
204,Skip Hop
205,All-You-Can-Eat Press
