id,name,brand_id,retailer_id,feature_description,detailed_description,product_link,affiliate_link,min_age,max_age,male,female,picture,detail_picture,min_price,max_price
2,Smart Athletic Gear,2,2,Athos smart workout apparel provides real-time insight into your heart rate and how hard your muscles are working,"With built-in sensors, Athos smart workout apparel provides real-time insight into your heart rate and how hard your muscles are working. It also features high-performance compression materials that reduce muscle fatigue.",https://www.liveathos.com/collections/starter-kits/products/mens-upper-body-kit,https://www.liveathos.com/collections/starter-kits/products/mens-upper-body-kit,22,54,true,false,d5853f1d-eb00-4a74-9f55-ae60367baf0d.png,3d08d281-ea6c-412b-83cf-aec25d9e3dd6.jpg,398,398
5,Leather Charging Wallet,4,3,This expertly crafted slim leather wallet has a built in battery and charging cable,"This expertly crafted slim leather wallet has a built in battery and charging cable. It's made from 100% American leather supplied by the renowned Horween Leather Company of Chicago, Illinois.",https://www.hellonomad.com/leather-charging-wallet-slim,http://fxo.co/4nH8,21,100,true,false,f19e13e6-cf59-4d07-87f2-c1df4c5e4dab.png,4ac8a3f7-98b6-4891-ba75-b5b2f65aa1ae.jpg,80,80
9,QuietComfort Wireless Headphones,8,1,"These highly rated speakers provide deep, powerful sound and significant noise reduction for the music lover","These highly rated speakers provide deep, powerful sound and significant noise reduction for the music lover. The lightweight, comfortable around-ear fit means they can wear them all day long.",http://www.amazon.com/dp/B0756CYWWD/?tag=outgift00-20,http://www.amazon.com/dp/B0756CYWWD/?tag=outgift00-20,16,100,true,true,9c1c2b36-d171-45bd-87bf-97a6ce0f071e.png,520705ba-3736-48e4-b40f-3e2abcf34a3c.jpg,349,349
10,X-T10 Silver Mirrorless Digital Camera Kit,9,1,Help them capture special moments with this highly rated digital camera,"Help them capture special moments with this highly rated digital camera. It's small, lightweight and very capable, making it an ideal companion for everyday photography and traveling.",http://www.amazon.com/dp/B00X7QTVSQ/?tag=outgift00-20,http://www.amazon.com/dp/B00X7QTVSQ/?tag=outgift00-20,21,100,true,true,433e5c51-9fe6-4e45-8883-b277a3041a73.png,cce8fc23-e453-4d00-8193-37700b2f382d.jpg,800,900
15,Star Wars Eclipse Fighter,10,5,This Lego set will let them discover Naare’s transforming Eclipse Fighter from the Star Wars movie,"This Lego set will let them discover Naare’s transforming Eclipse Fighter from the Star Wars Movie. Features a fighter with an opening minifigure cockpit and hidden spring-loaded missiles, plus a speeder and two minifigures.",http://www.amazon.com/dp/B01CIGN2U8/?tag=outgift00-20,http://www.amazon.com/dp/B01CIGN2U8/?tag=outgift00-20,5,10,true,true,49cb7822-b829-40e2-8645-50cff3146f3f.png,bf2f84b1-8a41-422c-84c6-60f28b9d5723.png,44,50
16,Starwars Snowspeeder,10,5,Hop on the Starwars fan bus with this LEGO set,"Hop on the Starwars fan bus with this LEGO set. Comes with the Snowspeeder, blasters and three minifigures.",http://www.amazon.com/dp/B00WI0SS7M/?tag=outgift00-20,http://www.amazon.com/dp/B00WI0SS7M/?tag=outgift00-20,5,10,true,true,feb4515a-88bf-492d-8b13-2a23ab905d58.png,4a88ae96-631e-4236-8984-e27417f46b17.jpg,50,55
17,Selphy Portable Photo Printer,11,1,This highly rated compact printer wirelessly connects to your smart device to print borderless photos,"This highly rated, lightweight and compact printer wirelessly connects to your smart device to print borderless, high quality 4x6 photos.",http://www.amazon.com/dp/B00HK8V4NC/?tag=outgift00-20,http://www.amazon.com/dp/B00HK8V4NC/?tag=outgift00-20,21,100,true,true,0fd765eb-bf5f-4838-9b75-2e297c1f155a.png,2fdeb260-dc17-4668-8225-bcaa9ea13e1e.jpg,100,160
18,Men's Sunglasses,12,6,"Warby Parker sunglasses offer durability, anti-scratch coating and are made with polarized polycarbonate lenses","Warby Parker sunglasses offer durability, anti-scratch coating and are made with polarized polycarbonate lenses, the most impact-resistant prescription lens material on the market.",http://shrsl.com/injf,http://shrsl.com/injf,18,100,true,false,992a942b-4780-4e3c-bf35-237ff3733dbe.png,5e17031b-838f-410e-bf0b-3c96418d516b.jpg,95,95
19,Women's Sunglasses,12,6,"Warby Parker sunglasses offer durability, anti-scratch coating and are made with polarized polycarbonate lenses","Warby Parker sunglasses offer durability, anti-scratch coating and are made with polarized polycarbonate lenses, the most impact-resistant prescription lens material on the market.",http://shrsl.com/injg,http://shrsl.com/injg,18,100,false,true,28038d1e-ce38-4675-84cc-7b627749e253.png,542d77c8-8608-4ff1-9a48-1b4218f45cd7.jpg,95,95
20,Ruby’s Sky High Cable Car,541,1,Award-winning construction toys that encourage girls to solve real-world problems by building simple machines,"Award-winning construction toys that encourage girls to solve real-world problems by building simple machines. As kids read along, they can build what Goldie builds using the included tool kits. Multiple kits available.",http://www.amazon.com/dp/B016YTMJOA/?tag=outgift00-20,http://www.amazon.com/dp/B016YTMJOA/?tag=outgift00-20,4,10,false,true,b03d2a1a-e0ef-4390-933f-3fd4be3076a2.png,32dbce82-50cf-4a8f-9f94-c16509ea5f86.jpg,24,24
21,Puzzlets,14,1,"Plan, program, and play with this exciting new game that helps kids think like a programmer while having fun","Plan, program, and play with this exciting new game that helps kids think like a programmer while having fun. Features 22 Puzzlets, 1 Rechargeable Play Tray, ""Cork the Volcano"" game, USB cable, and 120 puzzling levels.",http://www.amazon.com/dp/B013TSMF9S/?tag=outgift00-20,http://www.amazon.com/dp/B013TSMF9S/?tag=outgift00-20,6,10,true,true,3a534669-6a25-4029-bdc0-e3e554a584b5.png,7df3c898-cb2e-4053-97b8-bbac34a51d9b.jpg,75,100
