id,category_id,gender,min_age,max_age
307,65,female,0,1
186,82,female,25,34
5071,69,female,35,44
5054,410,female,35,44
5047,411,female,65,
5031,69,female,35,44
4998,408,female,25,34
5000,411,female,55,64
4985,408,female,25,34
4955,408,female,25,34
4953,410,female,5,10
4767,411,female,55,64
4729,411,female,65,
4639,411,female,65,
4595,408,female,35,44
4596,411,female,45,54
4597,69,female,18,24
4897,408,female,25,34
4544,411,female,55,64
4507,69,female,0,1
4490,411,female,45,54
4483,408,female,25,34
4486,409,female,25,34
4475,63,female,35,44
4456,63,female,25,34
4442,408,female,0,1
4443,408,female,35,44
4446,408,female,35,44
4450,411,female,45,54
4451,69,female,25,34
4452,69,female,18,24
4464,411,female,45,54
4393,409,female,25,34
4285,411,female,55,64
4382,408,female,18,24
4518,408,female,5,10
4521,411,female,55,64
4547,411,female,55,64
4957,63,female,25,34
4243,410,female,18,24
3875,411,female,55,64
3675,408,female,25,34
3461,410,female,11,17
3458,410,female,25,34
3460,410,female,25,34
3419,408,female,45,54
3385,408,female,25,34
3321,408,female,18,24
3315,408,female,18,24
3254,408,female,18,24
3252,408,female,18,24
3223,408,female,35,44
3183,69,female,35,44
3018,408,female,35,44
3010,409,female,18,24
2485,408,female,45,54
2442,69,female,25,34
2443,69,female,35,44
2431,408,female,35,44
2361,408,female,25,34
2334,408,female,25,34
2335,408,female,25,34
2339,408,female,25,34
2159,412,female,65,
2125,408,female,35,44
2126,408,female,35,44
2007,411,female,55,64
1879,411,female,55,64
1820,83,female,55,64
1818,411,female,65,
2008,69,female,11,17
1792,408,female,25,34
1793,83,female,55,64
1777,69,female,25,34
1764,69,female,25,34
1848,83,female,55,64
1849,83,female,55,64
1850,83,female,55,64
1851,83,female,55,64
1755,409,female,35,44
1767,411,female,65,
1769,83,female,55,64
4876,410,female,25,34
4877,410,female,25,34
1725,409,female,45,54
1726,409,female,45,54
1718,411,female,55,64
1685,69,female,55,64
1675,409,female,25,34
1638,410,female,18,24
1573,411,female,65,
1688,409,female,35,44
1541,69,female,35,44
1515,63,female,55,64
1511,69,female,25,34
1512,409,female,25,34
1473,63,female,25,34
1443,83,female,35,44
1447,412,female,65,
1344,411,female,55,64
1324,409,female,35,44
1435,83,female,1,4
1231,83,female,1,4
1229,409,female,35,44
1212,409,female,55,64
1349,63,female,18,24
1107,411,female,65,
1087,409,female,0,1
1099,410,female,0,1
1100,409,female,25,34
1060,410,female,18,24
1061,408,female,35,44
1062,409,female,45,54
1063,408,female,35,44
1059,69,female,35,44
1058,69,female,35,44
1044,410,female,5,10
1073,411,female,65,
1498,63,female,25,34
1009,410,female,35,44
989,411,female,55,64
968,408,female,45,54
966,408,female,45,54
961,412,female,65,
929,411,female,55,64
911,411,female,55,64
844,411,female,65,
845,412,female,65,
841,409,female,35,44
840,409,female,18,24
866,411,female,45,54
1575,411,female,45,54
815,411,female,55,64
799,411,female,55,64
798,409,female,25,34
763,409,female,25,34
747,411,female,55,64
2390,408,female,55,64
1160,63,female,18,24
1161,63,female,18,24
666,83,female,25,34
661,70,female,18,24
604,63,female,45,54
576,74,female,55,64
574,69,female,25,34
567,74,female,45,54
566,74,female,65,
559,78,female,18,24
563,78,female,18,24
564,74,female,45,54
648,69,female,18,24
4539,409,female,18,24
536,82,female,25,34
521,74,female,45,54
522,74,female,45,54
597,69,female,25,34
484,65,female,25,34
470,70,female,25,34
1367,409,female,25,34
1561,409,female,25,34
448,78,female,25,34
439,74,female,45,54
440,74,female,45,54
431,68,female,25,34
426,70,female,25,34
1643,409,female,11,17
421,69,female,25,34
425,64,female,35,44
591,69,female,25,34
592,69,female,25,34
638,78,female,18,24
1379,409,female,25,34
391,69,female,25,34
393,69,female,25,34
356,79,female,25,34
433,74,female,55,64
1579,411,female,65,
1613,411,female,65,
323,79,female,25,34
278,75,female,65,
269,74,female,45,54
257,77,female,11,17
219,82,female,35,44
255,74,female,55,64
259,59,female,45,54
235,68,female,25,34
384,74,female,55,64
568,74,female,65,
627,69,female,25,34
222,69,female,18,24
223,69,female,18,24
241,83,female,18,24
449,69,female,18,24
205,82,female,25,34
185,78,female,18,24
188,64,female,18,24
153,83,female,35,44
127,70,female,18,24
113,82,female,25,34
108,82,female,25,34
112,69,female,25,34
234,75,female,55,64
240,69,female,25,34
2352,69,female,25,34
4375,411,female,65,
101,78,female,25,34
239,74,female,55,64
261,78,female,18,24
98,79,female,35,44
145,75,female,55,64
589,77,female,1,4
90,82,female,25,34
87,79,female,35,44
146,74,female,65,
81,82,female,25,34
2411,410,female,5,10
2412,408,female,25,34
4195,409,female,35,44
4371,83,female,35,44
684,410,female,25,34
688,409,female,18,24
690,69,female,35,44
691,408,female,25,34
692,69,female,25,34
693,410,female,25,34
697,408,female,18,24
699,69,female,35,44
700,69,female,25,34
701,412,female,55,64
703,411,female,45,54
706,408,female,25,34
707,409,female,25,34
710,69,female,25,34
712,412,female,65,
713,412,female,65,
714,409,female,35,44
718,409,female,25,34
719,409,female,25,34
721,69,female,35,44
722,411,female,65,
727,69,female,25,34
728,409,female,25,34
730,83,female,1,4
731,83,female,1,4
732,83,female,1,4
733,83,female,1,4
734,83,female,1,4
736,409,female,35,44
737,83,female,45,54
738,411,female,55,64
739,411,female,55,64
743,69,female,25,34
745,408,female,25,34
746,411,female,55,64
768,63,female,35,44
755,410,female,25,34
756,408,female,18,24
758,411,female,45,54
759,411,female,65,
762,411,female,65,
764,408,female,45,54
769,69,female,25,34
771,69,female,55,64
776,412,female,55,64
777,408,female,18,24
781,69,female,0,1
783,408,female,35,44
784,408,female,55,64
787,69,female,35,44
788,69,female,25,34
789,409,female,25,34
790,409,female,35,44
791,69,female,25,34
794,410,female,11,17
795,411,female,65,
796,408,female,45,54
801,411,female,65,
803,408,female,25,34
813,408,female,35,44
814,409,female,25,34
817,69,female,35,44
821,411,female,55,64
826,408,female,45,54
828,410,female,0,1
829,410,female,1,4
831,410,female,0,1
834,409,female,35,44
836,411,female,55,64
838,411,female,45,54
839,409,female,35,44
842,63,female,35,44
853,69,female,25,34
843,411,female,65,
859,410,female,5,10
860,412,female,65,
863,411,female,55,64
864,411,female,65,
867,69,female,25,34
870,411,female,55,64
871,411,female,55,64
882,69,female,45,54
875,63,female,25,34
889,409,female,25,34
885,411,female,65,
890,411,female,65,
881,69,female,35,44
892,409,female,35,44
897,69,female,45,54
899,409,female,35,44
900,63,female,25,34
901,63,female,25,34
903,69,female,35,44
904,409,female,35,44
907,410,female,5,10
912,69,female,45,54
914,411,female,55,64
916,69,female,5,10
917,408,female,25,34
919,410,female,18,24
921,411,female,55,64
923,410,female,5,10
924,410,female,5,10
927,410,female,1,4
930,411,female,65,
931,411,female,65,
932,83,female,35,44
934,411,female,55,64
935,411,female,55,64
936,411,female,55,64
945,411,female,55,64
947,410,female,5,10
958,69,female,11,17
950,63,female,35,44
951,63,female,45,54
967,411,female,55,64
963,409,female,35,44
969,69,female,25,34
973,409,female,35,44
974,411,female,65,
975,411,female,65,
976,411,female,65,
977,410,female,11,17
979,409,female,25,34
980,409,female,25,34
984,410,female,0,1
982,69,female,25,34
983,410,female,0,1
986,408,female,25,34
990,63,female,35,44
994,411,female,65,
995,408,female,45,54
998,411,female,65,
999,69,female,0,1
1001,410,female,25,34
1004,69,female,25,34
1050,69,female,25,34
1008,408,female,25,34
1012,411,female,65,
1015,410,female,5,10
1016,411,female,65,
1019,412,female,65,
1020,408,female,25,34
1021,409,female,25,34
1051,409,female,25,34
1029,409,female,25,34
1034,411,female,55,64
1035,411,female,25,34
1036,409,female,25,34
1052,411,female,65,
1039,411,female,55,64
1040,69,female,25,34
1041,411,female,65,
1042,411,female,55,64
1047,408,female,18,24
1054,409,female,25,34
1055,411,female,55,64
1056,69,female,25,34
1064,408,female,35,44
1066,408,female,25,34
1067,69,female,25,34
1068,409,female,25,34
1069,409,female,25,34
1070,409,female,25,34
1072,69,female,35,44
1081,411,female,55,64
1082,411,female,45,54
1084,69,female,25,34
1089,408,female,35,44
1092,409,female,25,34
1096,411,female,65,
1097,69,female,18,24
1098,408,female,25,34
1103,69,female,45,54
1104,63,female,25,34
1155,411,female,65,
1113,411,female,65,
1114,408,female,25,34
1119,409,female,25,34
1120,408,female,35,44
1122,408,female,25,34
1123,408,female,35,44
1127,408,female,35,44
1129,69,female,25,34
1133,408,female,25,34
1136,69,female,35,44
1138,69,female,35,44
1141,69,female,35,44
1143,69,female,35,44
1150,408,female,35,44
1151,411,female,55,64
1152,409,female,25,34
1157,63,female,25,34
1158,69,female,35,44
1159,411,female,45,54
1162,63,female,18,24
1190,69,female,35,44
1165,411,female,55,64
1167,410,female,1,4
1169,69,female,25,34
1170,69,female,25,34
1171,69,female,25,34
1179,408,female,35,44
1189,408,female,25,34
1196,69,female,25,34
1174,411,female,45,54
1194,69,female,35,44
1176,409,female,35,44
1187,408,female,25,34
1188,408,female,25,34
1198,69,female,25,34
1259,409,female,35,44
1201,69,female,25,34
1202,69,female,25,34
1203,69,female,18,24
1204,69,female,25,34
1261,410,female,11,17
1207,410,female,35,44
1209,411,female,25,34
1213,411,female,65,
1214,69,female,35,44
1215,410,female,5,10
1217,411,female,65,
1218,83,female,5,10
1220,69,female,25,34
1221,69,female,25,34
1224,411,female,55,64
1226,411,female,65,
1264,410,female,11,17
1230,410,female,25,34
1232,69,female,35,44
1234,408,female,35,44
1238,69,female,18,24
1266,412,female,65,
1240,83,female,25,34
1241,410,female,11,17
1243,411,female,55,64
1245,408,female,25,34
1246,408,female,25,34
1248,412,female,65,
1249,412,female,65,
1250,412,female,65,
1251,412,female,65,
1254,83,female,25,34
1255,83,female,25,34
1256,83,female,25,34
1257,408,female,35,44
1258,409,female,35,44
1267,409,female,55,64
1274,408,female,45,54
1277,69,female,35,44
1283,408,female,35,44
