id,name
1,Amazon
2,Athos
3,Nomad
4,Viva Terra
5,Lego
6,Warby Parker
7,Kiwi Crate
8,Moleskine
9,Michael Kors
10,Backcountry
11,Gardeners
12,New York Times Company Store
13,Restoration Hardware
14,Tumi
15,Lo & Sons
16,Rikumo
17,Bloomingdale's
18,Target
19,John Varvatos
20,Frank + Oak
21,Everlane
22,Bass Pro Shop
23,Adorama
24,Baby Earth
25,Sur La Table
26,Saks Fifth Ave
27,Public Bikes
28,NFL Shop
29,Dean & Deluca
30,Sugarfina
31,Lord & Taylor
32,Nordstrom
33,Anthropologie
34,Golfsmith
35,Tilit
36,Blue Bottle Coffee
37,Apple
38,Sephora
39,Gaiam
40,Food52
41,Macy's
42,Neiman Marcus
43,Rifle Paper Co
44,Vector
45,Raden
46,Owen & Fred
47,Google
48,Breadtopia
49,Wedgwood
50,Leef
51,Bobby Jones
52,Lululemon
53,REI
54,Eastern Mountain Sports
55,Samsung
56,Nike
57,Starbucks
58,Arccos
59,PGA Tour
60,Cloud B
61,Melissa & Doug
63,KCKO
64,Crate & Barrel
65,Kate Spade
66,Bauble Bar
67,Sevenhugs
69,Caeden
70,Primo
71,Finesse
68,Roli
73,Here One
74,AHA Life
75,White + Warren
76,All-You-Can-Eat Press
77,Ringly
79,Ariel Gordon Jewelry
80,Artifact Uprising
81,Birchbox
82,JCrew
83,Brooklyn Candle
84,Lo & Sons
86,Kiwi Crate
87,Williams-Sonoma
88,Projecteo
89,Wine.com
90,MVMT
91,Paper Culture
92,Drizly
93,Victoria's Secret
94,The Everyday Mother
95,Mast Brothers
96,Mack Weldon
97,Bonobos
98,Adidas
99,Urban Ears
100,Coordinates Collection
101,Urban Outfitters
103,District Mot Kids
104,Bellabeat
105,Doddle & Co.
106,Unproper
107,Back to the Roots
108,Terrain
109,Etsy
110,Juniper Books
111,Sweet Saba
112,Chronicle Books
113,Ayla
114,Pinch Provisions
115,Louis Vuitton
116,Minted
117,Houzz
118,Bouqs
119,Tiffany & Co
120,Pottery Barn
121,Whistle
122,Harry's
124,MLBShop.com
125,NBA Store
78,Whisky Exchange
126,Everpurse
127,Frends
128,Bent Bikes
129,Catbird NYC
130,The Land of Nod
131,Kiehl's
132,Lakeshore
133,Winc
134,Madewell
135,Orvis
136,Uncommon Goods
137,Pop Chart Lab
138,Brooklinen
139,Boll & Branch
140,Technology Will Save Us
141,Hanna Anderson
142,Graf Lantz
143,Kikkerland
144,Goop
145,Take Care Of
146,Oeuf NYC
147,HATCH Collection
148,Build-A-Bear
149,Best Buy
150,Nanit
151,Rosefield
152,Framebridge
153,Seamus Golf
155,Perpetual Shade
156,Bird + Stone
157,Everett
158,Brigade Kitchen
159,END Clothing
160,Mont Blanc
161,Fredericks and Mae
162,Brooklyn Slate Co
163,Hamamlique
164,My Sweet Muffin
165,Macaron Cafe
166,Andreas Ingeman
167,The School of Life
168,Keds
169,Cuyana
170,Glossier
171,Barney's
172,Ratio
