Retailer,Product Name,Date and time,Indirect Sales
Amazon,Cluse La Boheme Rose Gold White/Grey Womens Watch CL8015.,1/14/17 17:47,di
Amazon,La Bohème Rose Gold White/Pink,2/6/17 9:47,di
Amazon,Xbox Wireless Controller - Black,12/21/17 18:10,ndi
Amazon,Great Explorations Colorful Stars Super Kit,11/22/16 17:40,ndi
Amazon,VTech Kidizoom Camera Pix Pink (Frustration Free Packaging),12/16/16 12:53,ndi
Amazon,LeapFrog Read with Me Violet,12/17/16 21:51,ndi
Amazon,Little Tikes Easy Score Basketball Set - 3 Ball,12/17/16 21:51,ndi
Amazon,Scientific Explorer Tasty Science Kit,10/6/17 9:59,ndi
Amazon,Day Of The Dead Nesting Dolls,12/11/17 5:03,ndi
Amazon,Lottie Muddy Puddles Doll,12/13/17 19:13,ndi
Amazon,USAopoly The Golden Girls Clue Board Game,12/16/17 0:22,ndi
Amazon,Crayola Colored Pencils 50 Count Set Pre-sharpened,12/18/17 13:26,ndi
Amazon,Crayola Washable Dry-Erase Markers 12 Count,12/19/17 9:52,ndi
Amazon,Crayola Dry-Erase Crayons 8 Count,12/19/17 9:52,ndi
Amazon,Educational Insights Nancy B's Science Club MoonScope & Sky Gazers 22-page Activity Journal 90x magnification,12/19/17 11:09,ndi
Amazon,Buddha Board Mini Buddha Board 5 x 5 x 1/2-Inch Black,12/22/17 9:02,ndi
Amazon,Little Kids Fubbles No-Spill Bubble Tumbler Minis Party Pack 12-Pack 2 Fl. Oz.,1/9/18 13:09,ndi
Amazon,Rainbow Unicorn Foil Balloon By ZiYan,2/12/18 11:55,ndi
Amazon,Magical Rainbow Unicorn Themed Birthday Party Pack for 20,2/12/18 11:55,ndi
Amazon,ALEX Toys Rub a Dub Paint in the Tub Finger Painting Kit,11/22/16 17:40,ndi
Amazon,Monikers,9/30/16 18:41,di
Amazon,Family Doctor Medical Box Kit Playset for Kids - Pretend Play Tools Toy Set,11/22/16 17:40,di
Amazon,Uncle Goose Bug Blocks - Made in USA,11/29/16 10:31,di
Amazon,VTech Kidizoom Camera Pix Pink (Frustration Free Packaging),12/16/16 12:53,di
Amazon,VTech Kidizoom Camera Pix Pink (Frustration Free Packaging),12/16/16 12:53,di
Amazon,B. LucKeys,12/17/16 22:42,di
Amazon,Playskool Sesame Street Love2Learn Elmo,12/19/16 13:45,di
Amazon,Playskool Sesame Street Love2Learn Elmo,12/19/16 13:46,di
Amazon,Manhattan Toy Lullaby Squirrel Pull Musical Crib and Baby Toy,7/19/17 10:40,di
Amazon,Exploding Kittens: NSFW Edition (Explicit Content - ADULTS ONLY!),12/3/17 4:32,di
Amazon,Magnetic Poetry - Little Box of Leo Zodiac Kit - Words for Refrigerator - Write Poems and Letters on the Fridge - Made in the USA,12/11/17 5:03,di
Amazon,Bears vs Babies: A Card Game From the Creators of Exploding Kittens,12/16/17 0:22,di
Amazon,Holy Stone F181C RC Quadcopter Drone with HD Camera RTF 4 Channel 2.4GHz 6-Gyro with Altitude Hold FunctionHeadless Mode and One Key Return Home Col,12/18/17 15:30,di
Amazon,Hape Anywhere Table Top Kid's Portable Art Easel Set,12/19/17 9:52,di
Amazon,Melissa & Doug Fold and Go Wooden Dollhouse With 2 Dolls and Wooden Furniture,1/15/18 8:50,di
Amazon,The School of Life - Know Yourself Prompt Cards - Cards for Self-Reflection,3/22/18 19:45,di
Amazon,Joyin Toy Doctor Kit 31 Pieces Pretend-n-Play Dentist Medical Kit with Electronic Stethoscope and Coat for Kids Holiday Gifts School Classroom Easte,4/16/18 21:18,di
Amazon,Kano Computer Kit – Make a computer learn to code (10 pieces),6/3/18 8:50,di
Amazon,GE White Shade Night Light (2 Count),1/2/17 16:41,ndi
Amazon,SunLabz Energy-Saving LED Light Bulbs - A19 Soft-White 60-Watt Equivalent E26 Socket Non-Dimmable Pack of 6,9/11/17 19:31,ndi
Amazon,Vintage Edison Light Bulb 60W (4 Pack) - Dimmable Exposed Filament - Incandescent Clear ST58 Teardrop Squirrel Cage Style - E26 Medium Base 2700K - 21,12/23/17 11:32,ndi
