Category,Retailer,Product Name,Product ID,Date,Clicks,Sales,Indirect Sales,Device Type Group
Sports & Outdoors,Amazon,Zepp Golf 2 3D Swing Analyzer,B01CL9802W,6/13/16 0:00,n/a,1,di,DESKTOP
Pet Supplies,Amazon,Petzi Treat Cam: Wi-Fi Pet Camera & Treat Dispenser,B008U73C46,6/20/16 9:50,n/a,1,di,DESKTOP
Health & Personal Care,Amazon,"Ezy Dose 7-Day Classic Pill Reminder - Small 4.5"" x 0.75"" x 0.5"" Colors Vary",B007RZWGUI,6/21/16 20:15,n/a,1,ndi,DESKTOP
Kitchen & Housewares,Amazon,Tovolo Silcone Mixing Spoon - Candy Apple,B000X7FOI8,6/21/16 20:15,n/a,1,ndi,DESKTOP
Health & Personal Care,Amazon,Burt's Bees Mama Bee Belly Butter 6.5 Ounce Tub,B00DM14TYC,7/26/16 12:22,n/a,1,ndi,DESKTOP
Books,Amazon,Rick Steves Snapshot Sevilla Granada & Southern Spain,1631212133,7/26/16 12:22,n/a,1,di,DESKTOP
Books,Amazon,Rand McNally 2017 Large Scale Road Atlas (Rand Mcnally Large Scale Road Atlas USA),528015516,8/11/16 6:37,n/a,1,ndi,DESKTOP
Kitchen & Housewares,Amazon,Chef'n GarlicZoom Garlic Chopper (X-Large),B00MMQ922W,8/11/16 6:37,n/a,1,ndi,DESKTOP
Kindle eBooks,Amazon,Bringing Up Bébé: One American Mother Discovers the Wisdom of French Parenting (now with Bébé Day by Day: 100 Keys to French Parenting),B00MNNAODK,8/29/16 15:19,n/a,1,di,DESKTOP
Kindle eBooks,Amazon,What to Expect the First Year: Second Edition,B00KVRDACW,8/29/16 15:29,n/a,1,di,DESKTOP
Books,Amazon,Bringing Up Bébé: One American Mother Discovers the Wisdom of French Parenting,1594203334,8/30/16 7:30,n/a,1,di,DESKTOP
Toys & Games,Amazon,Monikers,B00M07OQ1U,9/30/16 18:41,n/a,1,di,DESKTOP
